@relation 'Adult-Income-weka.filters.unsupervised.instance.RemovePercentage-P10.0-weka.filters.unsupervised.attribute.Remove-V-R8,6,11,1,4-5,7,13,12,10,15'

@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute 'marital status' {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute 'capital gain' numeric
@attribute age numeric
@attribute Education {Bachelors,Some-college,11th,HS-grad,Prof-school,Assoc-acdm,Assoc-voc,9th,7th-8th,12th,Masters,1st-4th,10th,Doctorate,5th-6th,Preschool}
@attribute education-num numeric
@attribute occupation {Tech-support,Craft-repair,Other-service,Sales,Exec-managerial,Prof-specialty,Handlers-cleaners,Machine-op-inspct,Adm-clerical,Farming-fishing,Transport-moving,Priv-house-serv,Protective-serv,Armed-Forces}
@attribute 'hours per week' numeric
@attribute 'capital loss' numeric
@attribute sex {Female,Male}
@attribute class {<=50K,>50K}

@data
Husband,Married-civ-spouse,0,44,Bachelors,13,Prof-specialty,50,0,Male,>50K
Own-child,Divorced,0,31,HS-grad,9,Craft-repair,50,1669,Male,<=50K
Own-child,Never-married,0,19,HS-grad,9,Handlers-cleaners,50,0,Male,<=50K
Unmarried,Divorced,5455,45,Assoc-acdm,12,Prof-specialty,38,0,Female,<=50K
Husband,Married-civ-spouse,0,34,Bachelors,13,Prof-specialty,40,1848,Male,>50K
Not-in-family,Never-married,0,26,HS-grad,9,Craft-repair,40,0,Male,<=50K
Husband,Married-civ-spouse,0,38,HS-grad,9,Transport-moving,40,0,Male,>50K
Not-in-family,Never-married,0,31,Some-college,10,Adm-clerical,43,0,Female,<=50K
Not-in-family,Separated,0,36,Assoc-acdm,12,Exec-managerial,50,0,Male,<=50K
Husband,Married-civ-spouse,0,31,Bachelors,13,Exec-managerial,60,0,Male,>50K
Husband,Married-civ-spouse,0,30,Bachelors,13,Tech-support,40,0,Male,<=50K
Husband,Married-civ-spouse,0,37,HS-grad,9,Prof-specialty,40,0,Male,>50K
Not-in-family,Never-married,0,30,Bachelors,13,Prof-specialty,50,0,Male,>50K
Wife,Married-civ-spouse,0,21,HS-grad,9,?,30,0,Female,<=50K
Not-in-family,Widowed,0,73,10th,6,Other-service,10,0,Female,<=50K
Husband,Married-civ-spouse,0,38,Masters,14,Exec-managerial,40,0,Male,>50K
Not-in-family,Never-married,0,30,10th,6,Craft-repair,50,0,Male,<=50K
Husband,Married-civ-spouse,0,33,HS-grad,9,Craft-repair,50,0,Male,>50K
Husband,Married-civ-spouse,7688,52,Bachelors,13,Prof-specialty,40,0,Male,>50K
Unmarried,Divorced,0,58,Some-college,10,Adm-clerical,46,0,Female,<=50K
Not-in-family,Never-married,0,34,Masters,14,Prof-specialty,50,0,Female,<=50K
Husband,Married-civ-spouse,0,35,HS-grad,9,Craft-repair,40,0,Male,<=50K
Husband,Married-civ-spouse,0,59,HS-grad,9,Craft-repair,40,0,Male,>50K
Unmarried,Divorced,0,45,Bachelors,13,Exec-managerial,40,0,Female,<=50K
Not-in-family,Never-married,0,27,Some-college,10,Transport-moving,48,0,Male,<=50K
Not-in-family,Never-married,0,31,Doctorate,16,Prof-specialty,50,0,Male,>50K
Other-relative,Never-married,0,45,Some-college,10,Farming-fishing,50,0,Male,<=50K
Other-relative,Separated,0,40,HS-grad,9,Other-service,25,0,Female,<=50K
Husband,Married-civ-spouse,0,27,Prof-school,15,Adm-clerical,40,0,Male,<=50K
