@relation 'AT: Adult-Income-weka.filters.unsupervised.instance.RemovePercentage-P10.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R105-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-R11-86'

@attribute '-0.425relationship=Husband-0.425marital status=Married-civ-spouse+0.326marital status=Never-married-0.273sex-0.232age...' numeric
@attribute '0.457education-num+0.248native country=United-States-0.228native country=Mexico+0.225Education=Bachelors+0.221occupation=Prof-specialty...' numeric
@attribute '-0.422race=Asian-Pac-Islander+0.419native country=United-States+0.387race=White-0.231native country=Philippines-0.166race=Black...' numeric
@attribute '0.353age+0.339relationship=Unmarried+0.339marital status=Divorced-0.333marital status=Never-married-0.318relationship=Own-child...' numeric
@attribute '0.44 race=White-0.429race=Black+0.291native country=Mexico-0.289native country=United-States+0.233relationship=Not-in-family...' numeric
@attribute '-0.569workclass=Private+0.331workclass=Self-emp-not-inc+0.306workclass=Local-gov+0.253occupation=Farming-fishing+0.23 occupation=Protective-serv...' numeric
@attribute '-0.386relationship=Wife+0.361relationship=Not-in-family+0.26 hours per week+0.246race=Asian-Pac-Islander-0.243occupation=Prof-specialty...' numeric
@attribute 0.352race=Black-0.28race=Asian-Pac-Islander-0.273relationship=Wife+0.238fnlwgt-0.231occupation=Adm-clerical... numeric
@attribute 0.409occupation=Prof-specialty-0.347Education=Some-college-0.262occupation=Exec-managerial-0.254occupation=Adm-clerical+0.215Education=Prof-school... numeric
@attribute -0.327occupation=Sales+0.308workclass=Local-gov+0.306occupation=Protective-serv+0.291Education=HS-grad-0.27workclass=Self-emp-inc... numeric
@attribute class {<=50K,>50K}

@data
-2.400083,0.994137,-0.126375,-1.11938,0.47699,-1.190513,-0.762735,0.998567,0.578699,-0.116733,>50K
0.587267,-0.554145,1.555044,0.17755,-0.218686,-0.548021,1.645779,-0.047001,0.280099,1.216934,<=50K
2.049923,-1.069189,1.850862,-2.234038,-0.48315,0.497554,0.552033,1.045654,0.322614,0.984175,<=50K
1.01073,2.151572,-0.42778,2.172793,1.001002,-1.555981,-0.628071,0.187289,0.161024,0.0811,<=50K
-1.881505,-0.432755,-2.10352,-2.203138,2.488392,-1.111829,-1.55678,0.953953,-0.428585,0.919656,>50K
1.236457,-0.467688,1.543498,-0.480688,0.265123,-0.156831,2.199174,0.463264,0.755809,1.407354,<=50K
-2.560007,-1.307738,1.073319,0.756256,-0.964214,1.688899,1.153875,-0.676698,0.857364,0.186113,>50K
2.37907,1.24891,0.777359,-0.267743,0.520335,-0.225293,0.258388,-0.78971,-1.461101,0.452204,<=50K
-0.703372,2.072972,-0.285809,1.078583,0.853058,0.725595,1.847129,1.083186,-2.048834,-1.890608,<=50K
-2.554327,0.807871,0.187839,-1.22594,0.219088,-1.401011,0.323235,0.893387,-1.494823,-0.649904,>50K
-1.845153,0.653532,0.277024,-1.470037,-0.003986,-1.505409,-0.27294,0.445445,-1.275407,0.282372,<=50K
-1.586177,-0.775428,0.665994,-0.285738,-0.1861,-0.824326,-0.7138,0.537669,1.286528,0.834938,>50K
1.501889,1.852878,-1.614846,-1.113974,-1.253248,-0.132375,0.316755,3.978773,0.313997,-0.628215,>50K
0.962071,-0.113631,-1.422097,0.749494,-2.708086,-1.229017,-3.352323,0.242031,1.171547,-0.083784,<=50K
2.16129,-0.681943,0.453863,3.25973,1.345162,-0.470999,-0.740074,-1.382329,3.476217,-1.7638,<=50K
-3.15833,2.016262,-0.581958,-0.07993,-0.249397,0.942202,-0.37545,-0.040452,-1.360933,0.620825,>50K
1.389733,-1.193612,1.625558,-0.397887,0.499863,0.410965,1.820246,0.722501,1.164265,0.079344,<=50K
-1.800366,-1.781843,1.331067,-0.121569,-0.684557,-0.840774,0.732754,0.187822,0.174748,1.236542,>50K
-2.992847,1.904282,-0.772799,-0.274823,0.267374,1.35802,-1.645092,1.013942,0.666861,0.967973,>50K
1.515106,1.186509,0.095685,2.998293,0.299648,-1.354487,-0.26772,-1.45389,-1.965147,-0.00417,<=50K
0.375281,3.866288,-0.851344,-0.144032,1.366705,2.244562,-0.761586,1.286505,1.638344,2.024119,<=50K
-1.697091,-1.766846,1.343246,-0.080149,-0.699721,-0.866024,0.564123,-0.078459,0.382581,1.217343,<=50K
-2.709337,-0.80616,0.635806,1.304956,-1.125367,1.019483,0.873946,-1.079754,-0.340792,1.574147,>50K
0.543591,2.339355,-0.42386,1.901754,1.032673,-2.00816,0.428324,0.141111,-1.486881,-0.986411,<=50K
1.303702,0.075569,1.276858,-1.005315,0.211605,0.213151,1.287155,1.198382,-0.703649,0.529228,<=50K
-0.026586,1.304066,-3.291848,-1.580676,4.541879,3.533975,-1.346119,3.295732,0.70631,2.382565,>50K
0.812087,-0.647634,0.702964,-0.771989,0.582457,1.760278,1.192651,-0.806334,-0.216841,-1.554266,<=50K
2.341837,-1.16505,0.052623,1.513958,-0.015458,-0.454975,-0.791244,0.058145,0.891909,-0.354571,<=50K
