@relation Adult-Income-weka.filters.unsupervised.instance.RemovePercentage-P10.0-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute class {<=50K,>50K}

@data
86.60254,-1.732051,-1.732051,-313551.425643,-313613.779472,-1.732051,76.210236,-313558.353847,-83.138439,-1.732051,>50K
86.60254,0,0,-359520.054076,-359589.336109,-3.464102,2944.486373,-359549.49894,-83.138439,2894.256899,<=50K
86.60254,-1.732051,0,-723439.517204,-723507.067185,-1.732051,32.908965,-723489.746677,-86.60254,3.464102,<=50K
67.549981,-9448.337155,-1.732051,-328978.802186,-329020.371406,3.464102,81.406388,-328964.94578,-62.353829,0,<=50K
69.282032,-1.732051,-1.732051,-386673.414587,-386718.447908,0,3259.71962,-386682.074841,-65.817931,3199.097842,>50K
69.282032,0,-1.732051,-188249.674071,-188298.171494,-3.464102,41.569219,-188270.458681,-69.282032,5.196152,<=50K
71.014083,0,-1.732051,-329197.040588,-329249.002112,-5.196152,64.08588,-329195.308537,-69.282032,3.464102,>50K
72.746134,-1.732051,0,-384794.13946,-384847.833035,0,51.961524,-384816.656121,-74.478185,5.196152,<=50K
88.334591,-1.732051,0,-285616.910219,-285679.264048,-3.464102,64.08588,-285641.15893,-88.334591,1.732051,<=50K
103.923048,-1.732051,0,-296203.204755,-296284.611143,-3.464102,51.961524,-296251.702177,-100.458947,1.732051,>50K
69.282032,-1.732051,0,-322677.601348,-322726.098771,-5.196152,50.229473,-322693.189806,-65.817931,0,<=50K
69.282032,0,-3.464102,-495475.650166,-495527.61169,-1.732051,64.08588,-495479.114267,-65.817931,1.732051,>50K
86.60254,-3.464102,-1.732051,-698821.879076,-698879.036752,-1.732051,51.961524,-698849.591889,-86.60254,1.732051,>50K
51.961524,0,-1.732051,-388376.02053,-388415.857699,0,34.641016,-388389.876937,-51.961524,5.196152,<=50K
19.052559,-1.732051,1.732051,-213444.085118,-213449.281271,-3.464102,128.17176,-213340.16207,-13.856406,1.732051,<=50K
69.282032,-1.732051,-1.732051,-172448.174554,-172493.207875,-1.732051,64.08588,-172451.638656,-69.282032,3.464102,>50K
86.60254,-1.732051,1.732051,-213404.24795,-213476.994084,-5.196152,48.497423,-213437.156915,-84.87049,3.464102,<=50K
86.60254,0,-1.732051,-400235.37241,-400306.386493,-3.464102,53.693575,-400263.085223,-83.138439,3.464102,>50K
69.282032,-13317.738659,-1.732051,-550421.497934,-550464.799204,-3.464102,90.066642,-550395.517172,-67.549981,-1.732051,>50K
79.674337,0,0,-417621.698416,-417682.320194,3.464102,100.458947,-417600.913806,-76.210236,3.464102,<=50K
86.60254,-1.732051,-1.732051,-381227.846848,-381281.540423,0,58.889727,-381253.82761,-90.066642,1.732051,<=50K
69.282032,0,-1.732051,-312422.128517,-312475.822092,-3.464102,57.157677,-312429.05672,-65.817931,3.464102,<=50K
69.282032,0,-3.464102,-55248.95666,-55304.382286,-3.464102,98.726896,-55214.315644,-67.549981,3.464102,>50K
71.014083,0,0,-317334.224607,-317379.257928,1.732051,77.942286,-317323.832302,-65.817931,1.732051,<=50K
83.138439,-1.732051,0,-668682.462973,-668743.084752,-5.196152,45.033321,-668717.103989,-83.138439,3.464102,<=50K
84.87049,-1.732051,-1.732051,-773171.892041,-773227.317667,-3.464102,55.425626,-773201.336905,-86.60254,0,>50K
86.60254,0,0,-48637.718727,-48703.536658,-1.732051,76.210236,-48642.91488,-86.60254,6.928203,<=50K
43.30127,3.464102,-1.732051,-488776.077642,-488798.594302,0,69.282032,-488750.09688,-41.569219,5.196152,<=50K
69.282032,-1.732051,0,-333265.627935,-333308.929205,-1.732051,45.033321,-333284.680494,-67.549981,1.732051,<=50K
34.641016,0,0,-664515.14873,-664529.005137,-3.464102,32.908965,-664515.14873,-34.641016,5.196152,<=50K
39.837169,-1.732051,1.732051,-792297.197059,-792330.106024,-3.464102,48.497423,-792286.804754,-43.30127,3.464102,<=50K
126.439709,-3.464102,0,-139050.770882,-139161.622134,-3.464102,57.157677,-139118.320864,-124.707658,3.464102,<=50K
69.282032,-3.464102,0,-276381.615313,-276430.112736,-3.464102,53.693575,-276392.007618,-69.282032,1.732051,<=50K
69.282032,-1.732051,1.732051,-417266.628001,-417323.785677,-3.464102,79.674337,-417245.843391,-64.08588,0,<=50K
71.014083,0,1.732051,-144591.601416,-144645.294991,1.732051,57.157677,-144601.993721,-65.817931,0,>50K
5.196152,-1.732051,0,-51857.601179,-51852.405026,-3.464102,128.17176,-51732.89352,-3.464102,1.732051,<=50K
