@relation Bank_Note_Authentication-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P10.0_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A5-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute class {0,1}

@data
-0.029702,-0.002928,0.081392,0.137565,0
0.008499,-0.035416,-0.063278,-0.105241,1
0.014473,0.018825,-0.399454,-0.502435,1
0.112525,0.023397,-0.759404,-0.877693,1
0.018299,0.022093,-0.52038,-0.637092,1
-0.035608,-0.029494,-0.045021,-0.033733,0
-0.00126,-0.045075,-0.042135,-0.068779,1
0.034468,0.020067,-0.35094,-0.330522,0
0.103355,0.028467,-0.542988,-0.628798,1
0.05854,0.035836,-0.688212,-0.763436,0
0.029157,0.002258,-0.126038,-0.208459,1
0.003743,-0.003336,-0.013388,0.029231,0
0.042263,0.028253,-0.281791,-0.285714,0
-0.023164,-0.000938,-0.035049,-0.094898,1
0.01036,0.034413,-0.38378,-0.394988,0
0.018169,-0.047305,-0.00072,0.004821,1
0.022569,-0.032269,-0.066283,-0.091401,1
-0.008518,-0.000864,0.000223,0.044895,0
-0.02223,0.004908,-0.016666,-0.076369,1
0.067286,0.015462,-0.4865,-0.587073,1
0.012043,-0.000379,-0.076138,-0.143427,1
0.018073,0.013419,-0.229789,-0.21528,0
0.012208,-0.020689,-0.017054,-0.030882,1
-0.013587,-0.017934,0.127385,0.196115,0
0.000624,-0.003086,0.094198,0.053922,1
-0.020509,0.020957,0.035166,0.081896,0
-0.018884,0.014309,-0.097502,-0.167723,1
0.122562,0.034666,-0.838735,-0.881407,0
-0.002832,-0.004079,0.12597,0.098211,1
0.024172,0.016249,-0.321103,-0.420448,1
0.001751,-0.032747,-0.068316,-0.122013,1
0.010589,0.034943,-0.216462,-0.22491,0
-0.011767,0.021101,0.021323,0.061763,0
0.015513,-0.017925,-0.038023,0.018896,0
-0.00554,-0.003003,-0.105998,-0.191227,1
-0.019825,-0.020271,0.0209,-0.028477,1
-0.055825,-0.002498,0.181455,0.226112,0
