@relation 'AT: Bank_Note_Authentication-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P10.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.642skewness+0.613curtosis+0.395entropy-0.238variance numeric
@attribute 0.757variance+0.632entropy-0.161curtosis-0.046skewness numeric
@attribute '0.604variance-0.597entropy+0.52 curtosis-0.094skewness' numeric
@attribute class {0,1}

@data
0.036098,1.554129,0.167369,0
1.953349,-0.291301,-0.215938,1
-1.187012,-0.61612,-0.210899,1
-1.276057,-3.068148,0.079756,1
-1.628668,-0.835301,0.096255,1
0.90896,1.113265,0.697719,0
2.24176,-0.029097,0.105612,1
-1.44504,-0.181815,0.678716,0
-1.032512,-2.488348,-0.51443,1
-2.497658,-1.436114,0.659382,0
0.57054,-0.782392,-1.151429,1
0.231482,0.660718,0.076641,0
-1.335172,-0.425278,-0.107536,0
0.226274,0.565739,-0.679598,1
-2.337081,0.229695,0.546074,0
2.57132,-0.237272,0.0837,1
1.903075,-0.468282,-0.221787,1
0.000194,0.974421,0.140236,0
0.046634,0.599204,-0.856139,1
-0.664871,-1.850801,-0.337679,1
0.557432,-0.289517,-0.980445,1
-0.918578,0.158425,0.34579,0
1.375722,-0.046944,-0.371096,1
0.99606,1.192486,0.131058,0
0.978761,0.220696,-1.288252,1
-0.997144,1.437751,-0.174788,0
-0.546093,0.479749,-0.778418,1
-2.299753,-2.731739,0.992656,0
1.022892,0.39314,-1.241669,1
-0.694721,-0.785734,-0.598439,1
1.791616,-0.203725,-0.284067,1
-1.790689,0.335872,-0.192143,0
-0.904944,1.19303,-0.28177,0
0.862401,0.3739,0.422519,0
0.430612,-0.055016,-0.805538,1
1.25325,0.448233,-0.577325,1
0.082486,2.114949,-0.123701,0
-0.5832,-0.081022,-0.810782,1
2.396452,-0.338847,0.115306,1
0.929574,-0.071535,-1.219044,1
-2.562883,0.215865,0.84808,0
-0.288383,-1.312534,-0.797961,1
-0.607747,0.285673,-0.381225,0
0.753401,0.449055,-0.009658,0
-1.97336,-0.872605,0.432906,0
-0.723923,1.078083,-0.311953,0
-0.295179,-1.398531,-0.894674,1
-2.09034,-0.003483,0.335435,0
0.826467,-0.454748,-0.916151,1
1.990464,0.604196,1.031487,0
0.167422,1.971253,0.268424,0
0.092186,1.52741,0.213321,0
0.804409,-0.312533,-0.954864,1
-1.915373,-0.720648,0.383377,0
3.040791,-0.909709,-0.074363,1
1.200848,0.619143,0.737422,0
2.656772,-0.762091,0.800273,1
0.472237,0.486815,-0.997384,1
1.035768,0.125089,0.5795,0
2.743667,-1.608505,0.077075,1
-0.563787,-1.277469,-0.398312,1
0.829834,0.058148,0.258088,0
2.411624,-0.335902,-0.180668,1
0.863138,1.055575,0.075594,0
-0.656448,-1.964508,-0.405456,1
-1.28503,0.407421,-0.487302,0
0.101841,1.951024,0.227255,0
1.931077,0.769797,0.979085,0
-0.421696,0.955358,-0.136796,0
-2.257011,-2.773057,0.972439,0
-0.790711,0.699046,0.339974,0
-1.60436,1.288836,-0.01691,0
-1.449321,0.364114,0.60116,0
0.445757,1.035669,0.090838,0
-1.002615,-3.014951,-0.906691,1
2.501579,-0.092455,-0.109405,1
-2.534653,0.13491,0.816474,0
1.617682,1.11178,0.839147,0
-1.233694,0.363786,-0.443519,0
-1.541849,-0.349286,0.560758,0
0.230356,-0.244073,-0.924278,1
1.733527,-0.205106,-0.128015,0
-0.147909,0.398831,-0.141725,0
2.152393,-0.781426,0.050262,1
1.240528,0.966137,0.14292,0
-0.1239,2.03352,-0.067183,0
2.017291,0.132271,-0.068191,1
2.61377,-1.50299,-0.088112,1
-1.036272,0.612646,0.08871,0
-0.09174,-1.308328,-0.591025,1
-1.134888,-0.593318,-0.268097,1
0.189471,-1.51421,-1.131301,1
-1.536937,0.97093,-0.155284,0
-0.890346,1.236554,-0.173129,0
1.198034,-0.148802,-1.24272,1
-0.66262,2.044103,0.016409,0
-0.838288,-0.62964,-0.140048,1
-1.279283,0.514616,-0.485257,0
0.21269,1.675314,0.102084,0
-1.180184,-0.802381,-0.320938,1
-1.1339,-0.394741,-0.128676,0
-1.017346,-2.073383,-0.083582,1
-0.976533,0.549888,-0.081059,0
0.92941,0.062029,-1.271087,1
2.928231,-1.696355,0.506155,1
0.147436,1.331535,-0.125308,0
-1.658089,-0.400317,0.158642,1
1.21621,0.215466,-0.512526,1
-1.257353,0.470787,0.351633,0
-1.763161,-0.72663,0.187789,1
0.232991,0.55477,-0.866432,1
-2.237584,-2.778462,0.984731,0
2.73572,-0.455143,0.554999,1
0.851067,0.831927,1.149323,0
-1.062805,-1.466289,0.015519,0
-0.605877,0.281823,-0.769066,1
-0.256302,-0.740026,-0.82002,1
1.061194,0.731673,-0.690349,1
-0.553031,-1.115105,-0.462706,1
-1.549651,-0.471077,-0.423209,0
1.132888,-0.340477,-1.107685,1
-0.706475,-0.978842,-0.678653,1
-1.10273,-0.759314,0.418274,0
-1.086197,-2.772942,-0.459313,1
2.010331,-0.1915,-0.172969,1
0.687858,-0.572033,-1.137767,1
-0.987034,-1.177332,0.069719,0
0.366163,1.807165,-0.008786,0
0.612774,1.548411,-0.205458,0
-0.349405,-0.033089,-0.135032,0
2.727291,-0.941536,0.73876,1
-1.269889,0.003861,-0.125501,0
0.940371,-0.386123,-0.71506,1
0.282037,0.243534,-0.129828,0
-2.592987,0.258038,0.863609,0
1.113979,0.039901,-0.643302,1
0.397617,1.747152,0.306747,0
-1.225427,-0.274458,0.24356,0
-0.446949,0.077643,-0.722414,1
-1.436197,0.00885,-0.286814,0
0.929651,1.089948,0.019967,0
0.420467,2.02115,-0.038255,0
-0.659815,-0.246223,-0.823161,1
0.674728,1.140469,0.323495,0
-2.365531,0.327926,0.605289,0
-2.859845,0.600854,1.110526,0
-2.582002,0.078681,0.853171,0
0.957899,0.183949,0.727056,0
2.780591,-0.541085,0.334815,1
1.071228,-0.522298,-1.097864,1
-1.575483,-1.629729,0.705651,0
-0.175101,0.836136,-0.814612,1
0.226746,0.424198,-0.019814,0
-1.503287,-3.495708,-0.1397,1
0.169358,0.240542,-0.275221,0
0.265752,0.354186,-0.073942,0
0.50563,-0.376102,-0.725689,1
-2.685326,-2.08625,0.776223,0
-2.29128,-1.768498,0.293085,0
-1.447007,0.189145,-0.089791,0
-1.180836,-0.022664,-0.403766,1
0.774884,0.380172,-1.194657,1
-0.591187,-0.036004,-0.770922,1
0.755915,1.287673,0.687068,0
1.686678,0.320966,-0.444605,1
-0.892671,1.657763,-0.147053,0
0.582917,1.866726,-0.088536,0
-1.303469,0.384383,-0.490035,0
1.961629,0.107029,-0.26173,1
0.990518,1.022682,0.712414,0
-1.256905,-3.827177,0.143864,1
-0.155502,1.057641,-0.758045,1
1.345111,-0.437739,-0.089426,0
-1.708164,-0.246563,0.165175,1
-1.594808,-3.591952,-0.166644,1
-0.657951,0.201157,-0.469042,0
-1.075932,-0.517356,-0.328494,1
-1.549649,-0.471082,-0.423214,0
-1.20702,0.138542,-0.357586,1
0.603437,-0.538669,-0.780937,1
0.203774,1.63447,-0.094733,0
-1.438422,0.021392,-0.164049,0
-0.603094,0.970587,-0.383956,0
-0.992303,-1.354829,-0.187464,1
-0.952099,-1.315069,-0.152679,1
-2.228945,-2.718232,0.973196,0
3.98912,-2.411852,1.730854,1
-1.122057,-0.711834,-0.310762,1
-1.104572,-1.076404,0.005013,0
-1.024536,-1.06568,0.54488,0
