@relation 'AT: Bank_Note_Authentication-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P10.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.EM -I 100 -N 2 -X 10 -max -1 -ll-cv 1.0E-6 -ll-iter 1.0E-6 -M 1.0E-6 -num-slots 1 -S 100-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Reorder-Rlast-first'

@attribute cluster {cluster1,cluster2}
@attribute class {0,1}

@data
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster2,1
cluster1,0
cluster2,1
cluster1,1
cluster1,0
cluster2,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster2,1
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster2,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster2,1
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster2,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster2,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster2,1
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster2,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster2,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster2,1
cluster2,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster2,1
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster2,1
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster2,1
cluster2,1
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster2,1
cluster1,1
cluster1,1
cluster1,0
cluster2,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster2,1
cluster2,1
cluster1,0
cluster2,1
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster2,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster2,1
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster2,1
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster2,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster2,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster2,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster2,1
cluster1,1
cluster1,1
cluster2,1
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster2,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster2,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster2,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster2,1
cluster2,1
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster2,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster2,1
cluster2,1
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster2,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster2,1
cluster2,1
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster2,1
cluster1,1
cluster1,0
cluster1,0
cluster2,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster2,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster2,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster2,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster2,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster2,1
cluster1,0
cluster2,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster2,1
cluster1,0
cluster1,0
cluster1,1
cluster2,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster2,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster2,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster2,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster2,1
cluster1,1
cluster1,0
cluster1,1
cluster2,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster2,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster2,1
cluster2,1
cluster1,1
cluster1,0
cluster1,1
cluster2,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster2,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster2,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster2,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster2,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster2,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster2,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster2,1
cluster1,0
cluster1,0
cluster1,0
cluster2,1
cluster1,0
cluster2,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster2,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster2,1
cluster1,1
cluster2,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster2,1
cluster1,0
cluster1,1
cluster1,0
cluster2,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster2,1
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster2,1
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster2,1
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster2,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster2,1
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster2,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,1
cluster1,0
cluster1,0
cluster2,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster2,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster2,1
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster2,1
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster2,1
cluster1,0
cluster1,0
cluster1,0
cluster2,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,1
cluster1,0
cluster1,1
cluster2,1
cluster1,0
cluster1,1
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
cluster1,0
cluster1,0
cluster1,1
cluster1,0
