@relation 'AT: Bank_Note_Authentication-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P10.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.EM -I 100 -N -1 -X 10 -max -1 -ll-cv 1.0E-6 -ll-iter 1.0E-6 -M 1.0E-6 -num-slots 1 -S 100-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Reorder-Rlast-first'

@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}
@attribute class {0,1}

@data
cluster18,0
cluster10,1
cluster15,1
cluster19,1
cluster1,1
cluster4,0
cluster10,1
cluster1,0
cluster9,1
cluster17,0
cluster7,1
cluster5,0
cluster15,0
cluster12,1
cluster14,0
cluster10,1
cluster10,1
cluster18,0
cluster12,1
cluster9,1
cluster7,1
cluster1,0
cluster16,1
cluster4,0
cluster7,1
cluster11,0
cluster12,1
cluster17,0
cluster7,1
cluster9,1
cluster10,1
cluster15,0
cluster11,0
cluster4,0
cluster12,1
cluster16,1
cluster18,0
cluster12,1
cluster10,1
cluster7,1
cluster14,0
cluster13,1
cluster5,0
cluster5,0
cluster1,0
cluster5,0
cluster13,1
cluster1,0
cluster7,1
cluster3,0
cluster18,0
cluster18,0
cluster7,1
cluster1,0
cluster2,1
cluster4,0
cluster2,1
cluster12,1
cluster4,0
cluster2,1
cluster9,1
cluster6,0
cluster10,1
cluster4,0
cluster9,1
cluster15,0
cluster18,0
cluster3,0
cluster5,0
cluster17,0
cluster11,0
cluster11,0
cluster1,0
cluster18,0
cluster9,1
cluster10,1
cluster14,0
cluster3,0
cluster15,0
cluster1,0
cluster12,1
cluster10,0
cluster5,0
cluster10,1
cluster4,0
cluster18,0
cluster10,1
cluster2,1
cluster11,0
cluster13,1
cluster15,1
cluster13,1
cluster11,0
cluster11,0
cluster7,1
cluster18,0
cluster9,1
cluster15,0
cluster18,0
cluster15,1
cluster15,0
cluster9,1
cluster11,0
cluster7,1
cluster2,1
cluster18,0
cluster1,1
cluster16,1
cluster1,0
cluster1,1
cluster12,1
cluster17,0
cluster2,1
cluster4,0
cluster9,0
cluster12,1
cluster13,1
cluster12,1
cluster9,1
cluster15,0
cluster7,1
cluster9,1
cluster1,0
cluster9,1
cluster10,1
cluster7,1
cluster1,0
cluster18,0
cluster18,0
cluster5,0
cluster2,1
cluster15,0
