@relation Bank_Note_Authentication-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P10.0-weka.filters.unsupervised.attribute.RandomProjection-N3-R100-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute class {0,1}

@data
4.333072,4.333072,0,0
-10.913652,-10.913652,0,1
5.50515,5.50515,0,1
11.515713,11.515713,0,1
6.46921,6.46921,0,1
-7.21122,-7.21122,0,0
-13.687705,-13.687705,0,1
14.386587,14.386587,0,0
13.931404,13.931404,0,1
16.153452,16.153452,0,0
0.397817,0.397817,0,1
5.039229,5.039229,0,0
15.56213,15.56213,0,0
-1.645119,-1.645119,0,1
16.493973,16.493973,0,0
-11.84896,-11.84896,0,1
-8.214771,-8.214771,0,1
5.48731,5.48731,0,0
0.301048,0.301048,0,1
6.920929,6.920929,0,1
-0.412193,-0.412193,0,1
10.53364,10.53364,0,0
-4.171991,-4.171991,0,1
0.408573,0.408573,0,0
-0.85662,-0.85662,0,1
12.43318,12.43318,0,0
3.347535,3.347535,0,1
20.988472,20.988472,0,0
-0.67382,-0.67382,0,1
4.842121,4.842121,0,1
-10.988823,-10.988823,0,1
16.042428,16.042428,0,0
12.472671,12.472671,0,0
1.5519,1.5519,0,0
-2.974797,-2.974797,0,1
-7.705894,-7.705894,0,1
2.26864,2.26864,0,0
4.286479,4.286479,0,1
-11.193205,-11.193205,0,1
-0.695332,-0.695332,0,1
17.648039,17.648039,0,0
6.831208,6.831208,0,1
12.300678,12.300678,0,0
4.028577,4.028577,0,0
17.5119,17.5119,0,0
11.737935,11.737935,0,0
7.053431,7.053431,0,1
16.210783,16.210783,0,0
0.788481,0.788481,0,1
-11.917202,-11.917202,0,0
-0.917537,-0.917537,0,0
-0.286741,-0.286741,0,0
-2.4945,-2.4945,0,1
15.859696,15.859696,0,0
-14.361472,-14.361472,0,1
-7.175367,-7.175367,0,0
-17.579969,-17.579969,0,1
-0.168468,-0.168468,0,1
0.014321,0.014321,0,0
-10.225508,-10.225508,0,1
5.386851,5.386851,0,1
-5.652201,-5.652201,0,0
-12.178742,-12.178742,0,1
1.634329,1.634329,0,0
6.376025,6.376025,0,1
15.203769,15.203769,0,0
1.193487,1.193487,0,0
-10.942231,-10.942231,0,0
5.04633,5.04633,0,0
21.866622,21.866622,0,0
9.737936,9.737936,0,0
15.106947,15.106947,0,0
12.526365,12.526365,0,0
2.809906,2.809906,0,0
16.096121,16.096121,0,1
-12.390225,-12.390225,0,1
17.587071,17.587071,0,0
-8.956608,-8.956608,0,0
14.522726,14.522726,0,0
13.615998,13.615998,0,0
-0.139796,-0.139796,0,1
1.845847,1.845847,0,0
9.727197,9.727197,0,0
-12.752224,-12.752224,0,1
-1.333298,-1.333298,0,0
3.648565,3.648565,0,0
-11.705719,-11.705719,0,1
-8.648476,-8.648476,0,1
10.651939,10.651939,0,0
3.121675,3.121675,0,1
5.010477,5.010477,0,1
5.716634,5.716634,0,1
15.049616,15.049616,0,0
12.006749,12.006749,0,0
-1.046574,-1.046574,0,1
6.899451,6.899451,0,0
5.300941,5.300941,0,1
15.225246,15.225246,0,0
0.892422,0.892422,0,0
5.641289,5.641289,0,1
10.870524,10.870524,0,0
8.415515,8.415515,0,1
8.996099,8.996099,0,0
-0.530458,-0.530458,0,1
-13.383037,-13.383037,0,1
1.863687,1.863687,0,0
6.777515,6.777515,0,1
-7.698619,-7.698619,0,1
12.662677,12.662677,0,0
6.849222,6.849222,0,1
1.089547,1.089547,0,1
22.049353,22.049353,0,0
-16.748585,-16.748585,0,1
-9.393951,-9.393951,0,0
19.974183,19.974183,0,0
3.616349,3.616349,0,1
6.483586,6.483586,0,1
-5.816919,-5.816919,0,1
5.483673,5.483673,0,1
14.182205,14.182205,0,0
-1.164856,-1.164856,0,1
5.709532,5.709532,0,1
13.762876,13.762876,0,0
14.074818,14.074818,0,1
-11.444006,-11.444006,0,1
-0.24732,-0.24732,0,1
