Date,Symbol,Order,Shares
2010-02-03,IBM,BUY,100
2010-02-10,IBM,SELL,100
2010-02-12,IBM,BUY,100
2010-02-22,IBM,SELL,100
2010-02-24,IBM,SELL,100
2010-03-03,IBM,BUY,100
2010-03-04,IBM,BUY,100
2010-03-11,IBM,SELL,100
2010-03-15,IBM,BUY,100
2010-03-22,IBM,SELL,100
2010-03-23,IBM,SELL,100
2010-03-30,IBM,BUY,100
2010-03-31,IBM,BUY,100
2010-04-08,IBM,SELL,100
2010-04-09,IBM,BUY,100
2010-04-16,IBM,SELL,100
2010-04-21,IBM,SELL,100
2010-04-28,IBM,BUY,100
2010-04-29,IBM,BUY,100
2010-05-06,IBM,SELL,100
2010-05-10,IBM,SELL,100
2010-05-17,IBM,BUY,100
2010-05-18,IBM,SELL,100
2010-05-25,IBM,BUY,100
2010-05-26,IBM,SELL,100
2010-06-03,IBM,BUY,100
2010-06-08,IBM,BUY,100
2010-06-15,IBM,SELL,100
2010-06-17,IBM,BUY,100
2010-06-24,IBM,SELL,100
2010-06-25,IBM,SELL,100
2010-07-02,IBM,BUY,100
2010-07-06,IBM,BUY,100
2010-07-13,IBM,SELL,100
2010-07-14,IBM,BUY,100
2010-07-21,IBM,SELL,100
2010-07-22,IBM,SELL,100
2010-07-29,IBM,BUY,100
2010-07-30,IBM,BUY,100
2010-08-06,IBM,SELL,100
2010-08-09,IBM,SELL,100
2010-08-16,IBM,BUY,100
2010-08-17,IBM,BUY,100
2010-08-24,IBM,SELL,100
2010-08-25,IBM,SELL,100
2010-09-01,IBM,BUY,100
2010-09-03,IBM,BUY,100
2010-09-13,IBM,SELL,100
2010-09-14,IBM,SELL,100
2010-09-21,IBM,BUY,100
2010-09-23,IBM,BUY,100
2010-09-30,IBM,SELL,100
2010-10-01,IBM,SELL,100
2010-10-08,IBM,BUY,100
2010-10-11,IBM,SELL,100
2010-10-18,IBM,BUY,100
2010-10-19,IBM,BUY,100
2010-10-26,IBM,SELL,100
2010-10-28,IBM,BUY,100
2010-11-04,IBM,SELL,100
2010-11-08,IBM,BUY,100
2010-11-15,IBM,SELL,100
2010-11-17,IBM,BUY,100
2010-11-24,IBM,SELL,100
2010-11-26,IBM,SELL,100
2010-12-03,IBM,BUY,100
2010-12-06,IBM,SELL,100
2010-12-13,IBM,BUY,100
2010-12-16,IBM,BUY,100
2010-12-23,IBM,SELL,100
2010-12-30,IBM,SELL,100
2011-01-06,IBM,BUY,100
2011-01-07,IBM,SELL,100
2011-01-14,IBM,BUY,100
2011-01-18,IBM,BUY,100
2011-01-25,IBM,SELL,100
2011-01-27,IBM,BUY,100
2011-02-03,IBM,SELL,100
2011-02-04,IBM,BUY,100
2011-02-11,IBM,SELL,100
2011-02-14,IBM,BUY,100
2011-02-22,IBM,SELL,100
2011-02-23,IBM,BUY,100
2011-03-02,IBM,SELL,100
2011-03-03,IBM,BUY,100
2011-03-10,IBM,SELL,100
2011-03-15,IBM,SELL,100
2011-03-22,IBM,BUY,100
2011-03-23,IBM,SELL,100
2011-03-30,IBM,BUY,100
2011-03-31,IBM,BUY,100
2011-04-07,IBM,SELL,100
2011-04-08,IBM,SELL,100
2011-04-15,IBM,BUY,100
2011-04-18,IBM,BUY,100
2011-04-26,IBM,SELL,100
2011-04-28,IBM,BUY,100
2011-05-05,IBM,SELL,100
2011-05-06,IBM,BUY,100
2011-05-13,IBM,SELL,100
2011-05-16,IBM,BUY,100
2011-05-23,IBM,SELL,100
2011-05-24,IBM,BUY,100
2011-06-01,IBM,SELL,100
2011-06-02,IBM,BUY,100
2011-06-09,IBM,SELL,100
2011-06-10,IBM,SELL,100
2011-06-17,IBM,BUY,100
2011-06-20,IBM,SELL,100
2011-06-27,IBM,BUY,100
2011-06-28,IBM,BUY,100
2011-07-06,IBM,SELL,100
2011-07-07,IBM,BUY,100
2011-07-14,IBM,SELL,100
2011-07-19,IBM,BUY,100
2011-07-26,IBM,SELL,100
2011-07-27,IBM,BUY,100
2011-08-03,IBM,SELL,100
2011-08-05,IBM,SELL,100
2011-08-12,IBM,BUY,100
2011-08-15,IBM,SELL,100
2011-08-22,IBM,BUY,100
2011-08-24,IBM,SELL,100
2011-08-31,IBM,BUY,100
2011-09-01,IBM,SELL,100
2011-09-09,IBM,BUY,100
2011-09-14,IBM,SELL,100
2011-09-21,IBM,BUY,100
2011-09-23,IBM,SELL,100
2011-09-30,IBM,BUY,100
2011-10-03,IBM,SELL,100
2011-10-10,IBM,BUY,100
2011-10-11,IBM,SELL,100
2011-10-18,IBM,BUY,100
2011-10-19,IBM,SELL,100
2011-10-26,IBM,BUY,100
2011-10-27,IBM,SELL,100
2011-11-03,IBM,BUY,100
2011-11-04,IBM,SELL,100
2011-11-11,IBM,BUY,100
2011-11-14,IBM,BUY,100
2011-11-21,IBM,SELL,100
2011-11-22,IBM,BUY,100
2011-11-30,IBM,SELL,100
2011-12-01,IBM,BUY,100
2011-12-08,IBM,SELL,100
2011-12-09,IBM,SELL,100
2011-12-16,IBM,BUY,100
2011-12-19,IBM,BUY,100
2011-12-27,IBM,SELL,100
