Date,Symbol,Order,Shares
2010-02-01,ML4T-220,SELL,100
2010-02-08,ML4T-220,BUY,100
2010-02-09,ML4T-220,SELL,100
2010-02-17,ML4T-220,BUY,100
2010-02-19,ML4T-220,BUY,100
2010-02-26,ML4T-220,SELL,100
2010-03-01,ML4T-220,BUY,100
2010-03-08,ML4T-220,SELL,100
2010-03-09,ML4T-220,BUY,100
2010-03-16,ML4T-220,SELL,100
2010-03-17,ML4T-220,SELL,100
2010-03-24,ML4T-220,BUY,100
2010-03-25,ML4T-220,SELL,100
2010-04-01,ML4T-220,BUY,100
2010-04-05,ML4T-220,BUY,100
2010-04-12,ML4T-220,SELL,100
2010-04-13,ML4T-220,SELL,100
2010-04-20,ML4T-220,BUY,100
2010-04-26,ML4T-220,SELL,100
2010-05-03,ML4T-220,BUY,100
2010-05-04,ML4T-220,BUY,100
2010-05-11,ML4T-220,SELL,100
2010-05-17,ML4T-220,BUY,100
2010-05-24,ML4T-220,SELL,100
2010-05-25,ML4T-220,SELL,100
2010-06-02,ML4T-220,BUY,100
2010-06-08,ML4T-220,SELL,100
2010-06-15,ML4T-220,BUY,100
2010-06-16,ML4T-220,BUY,100
2010-06-23,ML4T-220,SELL,100
2010-06-28,ML4T-220,BUY,100
2010-07-06,ML4T-220,SELL,100
2010-07-07,ML4T-220,BUY,100
2010-07-14,ML4T-220,SELL,100
2010-07-15,ML4T-220,BUY,100
2010-07-22,ML4T-220,SELL,100
2010-07-23,ML4T-220,SELL,100
2010-07-30,ML4T-220,BUY,100
2010-08-02,ML4T-220,SELL,100
2010-08-09,ML4T-220,BUY,100
2010-08-10,ML4T-220,BUY,100
2010-08-17,ML4T-220,SELL,100
2010-08-18,ML4T-220,BUY,100
2010-08-25,ML4T-220,SELL,100
2010-08-26,ML4T-220,BUY,100
2010-09-02,ML4T-220,SELL,100
2010-09-03,ML4T-220,SELL,100
2010-09-13,ML4T-220,BUY,100
2010-09-14,ML4T-220,SELL,100
2010-09-21,ML4T-220,BUY,100
2010-09-22,ML4T-220,BUY,100
2010-09-29,ML4T-220,SELL,100
2010-09-30,ML4T-220,BUY,100
2010-10-07,ML4T-220,SELL,100
2010-10-08,ML4T-220,BUY,100
2010-10-15,ML4T-220,SELL,100
2010-10-18,ML4T-220,SELL,100
2010-10-25,ML4T-220,BUY,100
2010-10-26,ML4T-220,SELL,100
2010-11-02,ML4T-220,BUY,100
2010-11-03,ML4T-220,BUY,100
2010-11-10,ML4T-220,SELL,100
2010-11-11,ML4T-220,SELL,100
2010-11-18,ML4T-220,BUY,100
2010-11-24,ML4T-220,SELL,100
2010-12-02,ML4T-220,BUY,100
2010-12-03,ML4T-220,BUY,100
2010-12-10,ML4T-220,SELL,100
2010-12-16,ML4T-220,BUY,100
2010-12-23,ML4T-220,SELL,100
2010-12-27,ML4T-220,SELL,100
2011-01-03,ML4T-220,BUY,100
2011-01-07,ML4T-220,SELL,100
2011-01-14,ML4T-220,BUY,100
2011-01-18,ML4T-220,BUY,100
2011-01-25,ML4T-220,SELL,100
2011-01-28,ML4T-220,BUY,100
2011-02-04,ML4T-220,SELL,100
2011-02-07,ML4T-220,BUY,100
2011-02-14,ML4T-220,SELL,100
2011-02-15,ML4T-220,BUY,100
2011-02-23,ML4T-220,SELL,100
2011-02-24,ML4T-220,SELL,100
2011-03-03,ML4T-220,BUY,100
2011-03-04,ML4T-220,SELL,100
2011-03-11,ML4T-220,BUY,100
2011-03-14,ML4T-220,BUY,100
2011-03-21,ML4T-220,SELL,100
2011-03-22,ML4T-220,BUY,100
2011-03-29,ML4T-220,SELL,100
2011-03-30,ML4T-220,BUY,100
2011-04-06,ML4T-220,SELL,100
2011-04-07,ML4T-220,SELL,100
2011-04-14,ML4T-220,BUY,100
2011-04-15,ML4T-220,SELL,100
2011-04-25,ML4T-220,BUY,100
2011-04-26,ML4T-220,BUY,100
2011-05-03,ML4T-220,SELL,100
2011-05-04,ML4T-220,BUY,100
2011-05-11,ML4T-220,SELL,100
2011-05-12,ML4T-220,BUY,100
2011-05-19,ML4T-220,SELL,100
2011-05-20,ML4T-220,SELL,100
2011-05-27,ML4T-220,BUY,100
2011-05-31,ML4T-220,SELL,100
2011-06-07,ML4T-220,BUY,100
2011-06-08,ML4T-220,BUY,100
2011-06-15,ML4T-220,SELL,100
2011-06-16,ML4T-220,SELL,100
2011-06-23,ML4T-220,BUY,100
2011-06-29,ML4T-220,SELL,100
2011-07-07,ML4T-220,BUY,100
2011-07-08,ML4T-220,BUY,100
2011-07-15,ML4T-220,SELL,100
2011-07-21,ML4T-220,BUY,100
2011-07-28,ML4T-220,SELL,100
2011-07-29,ML4T-220,SELL,100
2011-08-05,ML4T-220,BUY,100
2011-08-11,ML4T-220,SELL,100
